,Unnamed: 0,drugName,condition
0,0,valsartan,Left Ventricular Dysfunction
1,1,guanfacine,ADHD
2,2,lybrel,Birth Control
3,3,ortho evra,Birth Control
4,4,buprenorphine / naloxone,Opiate Dependence
5,5,cialis,Benign Prostatic Hyperplasia
6,6,levonorgestrel,Emergency Contraception
7,7,aripiprazole,Bipolar Disorde
8,8,keppra,Epilepsy
9,9,ethinyl estradiol / levonorgestrel,Birth Control
10,10,topiramate,Migraine Prevention
11,11,l-methylfolate,Depression
12,12,pentasa,Crohn's Disease
13,13,dextromethorphan,Cough
14,14,nexplanon,Birth Control
15,15,liraglutide,Obesity
16,16,trimethoprim,Urinary Tract Infection
17,17,amitriptyline,ibromyalgia
18,18,lamotrigine,Bipolar Disorde
19,19,nilotinib,Chronic Myelogenous Leukemia
20,20,atripla,HIV Infection
21,21,trazodone,Insomnia
22,22,etonogestrel,Birth Control
23,23,etanercept,Rheumatoid Arthritis
24,24,tioconazole,Vaginal Yeast Infection
25,25,azithromycin,Chlamydia Infection
26,26,eflornithine,Hirsutism
27,27,daytrana,ADHD
28,28,ativan,Panic Disorde
29,29,imitrex,Migraine
30,30,sertraline,Depression
31,31,toradol,Pain
32,33,viberzi,Irritable Bowel Syndrome
33,34,mobic,Osteoarthritis
34,35,dulcolax,Constipation
35,36,morphine,Pain
36,37,moviprep,Bowel Preparation
37,38,trilafon,Psychosis
38,39,fluconazole,Vaginal Yeast Infection
39,40,contrave,Obesity
40,41,clonazepam,Panic Disorde
41,42,metaxalone,Muscle Spasm
42,43,venlafaxine,Depression
43,44,ledipasvir / sofosbuvir,Hepatitis C
44,46,symbyax,Bipolar Disorde
45,47,tamsulosin,Overactive Bladde
46,48,doxycycline,Urinary Tract Infection
47,49,dulaglutide,"Diabetes, Type 2"
48,50,intuniv,ADHD
49,51,buprenorphine,Pain
50,52,qvar,"Asthma, Maintenance"
51,53,opdivo,Non-Small Cell Lung Cance
52,55,pyridium,Dysuria
53,56,latuda,Bipolar Disorde
54,57,bupropion,Smoking Cessation
55,58,implanon,Birth Control
56,59,effexor xr,Anxiety
57,60,drospirenone / ethinyl estradiol,Birth Control
58,63,nuvaring,Birth Control
59,64,prepopik,Bowel Preparation
60,65,tretinoin,Acne
61,67,gildess fe 1 / 20,Birth Control
62,68,ethinyl estradiol / norgestimate,Acne
63,69,elbasvir / grazoprevir,Hepatitis C
64,70,clomiphene,emale Infertility
65,71,docusate / senna,"Constipation, Acute"
66,72,amitiza,"Constipation, Drug Induced"
67,75,sildenafil,Erectile Dysfunction
68,76,lo loestrin fe,Birth Control
69,79,oxcarbazepine,Trigeminal Neuralgia
70,80,wellbutrin,Depression
71,83,phillips' milk of magnesia,Constipation
72,84,nature-throid,Underactive Thyroid
73,85,lithium,Bipolar Disorde
74,86,oxycodone,Chronic Pain
75,88,estradiol,Atrophic Vaginitis
76,89,sronyx,Birth Control
77,90,augmentin xr,Skin and Structure Infection
78,91,monistat 7-day combination pack,Vaginal Yeast Infection
79,92,plan b one-step,Emergency Contraception
80,93,alprazolam,Tinnitus
81,94,fluoxetine,Major Depressive Disorde
82,97,spironolactone,Acne
83,98,fluvoxamine,Anxiety and Stress
84,99,macrobid,Urinary Tract Infection
85,100,lurasidone,Schizophrenia
86,101,adapalene / benzoyl peroxide,Acne
87,102,brimonidine,Rosacea
88,103,amlodipine / olmesartan,High Blood Pressure
89,104,linaclotide,Irritable Bowel Syndrome
90,105,mirtazapine,Anxiety
91,106,acetaminophen / hydrocodone,Pain
92,107,isotretinoin,Acne
93,108,ropinirole,Restless Legs Syndrome
94,109,zoledronic acid,Osteolytic Bone Metastases of Solid Tumors
95,110,lamictal,Bipolar Disorde
96,112,buspirone,Anxiety
97,113,propranolol,Anxiety
98,114,focalin,ADHD
99,116,jolivette,Birth Control
100,117,levofloxacin,Bronchitis
101,118,phentermine / topiramate,Obesity
102,119,cephalexin,Skin or Soft Tissue Infection
103,120,aviane,Birth Control
104,122,saxenda,Obesity
105,123,clomipramine,Obsessive Compulsive Disorde
106,124,medroxyprogesterone,Endometriosis
